ECU;BodyControl;(or _F2 _F3 _F4 _F6)
ECU;BrakingControl;(or _F8 _F3)
ECU;EngineControl;(_F7)
VirtualDevice;HumanMachineInterface_BodyControl;(or _F2 _F3 _F4 _F6)
VirtualDevice;SituationManagement_BrakingControl;(or _F8 _F3)
VirtualDevice;SituationManagement_BodyControl;(or _F2 _F3 _F4 _F6)
VirtualDevice;SituationManagement_EngineControl;(_F7)
VirtualDevice;HumanMachineInterface_EngineControl;(_F7)
VirtualDevice;HumanMachineInterface_BrakingControl;(or _F8 _F3)
Distributable;Display_BodyControl;(or _F2 _F3 _F6)
Distributable;ABSController;(or _F8 _F3)
Distributable;PowerWindowButton;(_F4)
Distributable;AdaptiveCruiseControl;(or _F2 _F3)
Distributable;PowerWindowController;(_F4)
Distributable;ClimateControl;(_F6)
Distributable;Display_EngineControl;(_F7)
Distributable;Input_EngineControl;(_F7)
Distributable;SpeedControl;(_F7)
Distributable;Display_BrakingControl;(or _F8 _F3)
Distributable;BrakingPedalModule;(or _F8 _F3)
ExecFrame;De_ActivateACC;(or _F2 _F3)
ExecFrame;De_ActivateABS;(or _F8 _F3)
ExecFrame;DisplayACCState;(or _F2 _F3)
ExecFrame;DisplaySetSpeed;(or _F2 _F3)
ExecFrame;DispUserSetPointInCel;(_F6)
ExecFrame;DispExternalTempCel;(_F6)
ExecFrame;DispCurCarTempCel;(_F6)
ExecFrame;InputUserSetPointInCel;(_F6)
ExecFrame;InputExternalTempInCel;(_F6)
ExecFrame;RollUp;(_F4)
ExecFrame;RollDown;(_F4)
ExecFrame;ComputeDesiredSpeed;(or _F2 _F3)
ExecFrame;DetectObstacle;(_F4)
ExecFrame;ValidateRollUpCommand;(_F4)
ExecFrame;ValidateRollDownCommand;(_F4)
ExecFrame;RegulateTemp;(_F6)
ExecFrame;DepressAccelerator;(_F7)
ExecFrame;ReleaseAccelerator;(_F7)
ExecFrame;DispCurSpeed;(_F7)
ExecFrame;ComputeArmatureVoltage;(_F7)
ExecFrame;Apply_Rel_ForceOnBrakes;(or _F8 _F3)
ExecFrame;Unnamed;(or _F8 _F3)
ExecFrame;CalcWheelAngularSpeed;(or _F8 _F3)
ExecFrame;CalcSlip;(or _F8 _F3)
ExecFrame;CalcVehicleSpeed;(or _F8 _F3)
Signal;TurnAccon;(or _F2 _F3)
Signal;TurnAccoff;(or _F2 _F3)
Signal;SetABSstate;(or _F8 _F3)
Signal;TurnABSoff;(or _F8 _F3)
Signal;SetACCSpeed;(or _F2 _F3)
Signal;SetACCState;(or _F2 _F3)
Signal;GetACCState;(or _F2 _F3)
Signal;GetACCSpeed;(or _F2 _F3)
Signal;GetUserSetPoint;(_F6)
Signal;GetExternalTemp;(_F6)
Signal;GetCurTemp;(_F6)
Signal;SetUserSetPoint;(_F6)
Signal;SetExternalTemp;(_F6)
Signal;Send2ControllerRollUp;(_F4)
Signal;Send2ControllerRollDown;(_F4)
Signal;SetACCDesiredSpeed;(or _F2 _F3)
Signal;RollDownWin10cm;(_F4)
Signal;RollDownWinYcm;(_F4)
Signal;RollUpWinYcm;(_F4)
Signal;TurnHeaterOnOff;(_F6)
Signal;TurnAcOnOff;(_F6)
Signal;RaiseACTemp;(_F6)
Signal;LowerACTemp;(_F6)
Signal;RaiseHeaterTemp;(_F6)
Signal;LowerHeaterTemp;(_F6)
Signal;SetBlowerOff;(_F6)
Signal;SetBlower1;(_F6)
Signal;SetBlower2;(_F6)
Signal;SetBlower3;(_F6)
Signal;GetArmatureVoltage;(_F7)
Signal;GetSpeed;(_F7)
Signal;SetSpeed;(_F7)
Signal;GetFieldExcitationCurrent;(_F7)
Signal;GetMotorTorque;(_F7)
Signal;UpdateRotationSpeedOfAlternator_SyncGenerator;(_F7)
Signal;SetArmatureVoltage;(_F7)
Signal;TurnABSon;(or _F8 _F3)
Signal;SetBrakePressure;(or _F8 _F3)
Signal;GetABSstate;(or _F8 _F3)
Signal;GetWheelTorque;(or _F8 _F3)
Signal;GetDesiredSlip;(or _F8 _F3)
Signal;GetCurSlip;(or _F8 _F3)
Signal;SetWheelAngularSpeed;(or _F8 _F3)
Signal;GetWheelAngularSpeed;(or _F8 _F3)
Signal;SetCurSlip;(or _F8 _F3)
Signal;GetVehicleSpeed;(or _F8 _F3)
Signal;SetFrictionCoeff_MuSlipCurve;(or _F8 _F3)
Signal;GetFrictionCoeff_MuSlipCurve;(or _F8 _F3)
Signal;SetDesiredSlip;(or _F8 _F3)
Signal;SetVehicleSpeed;(or _F8 _F3)
Signal;GetWeightOnWheel;(or _F8 _F3)
Signal;GetVehicleMass;(or _F8 _F3)
Signal;SetVehicleDeceleration;(or _F8 _F3)
VirtualDevice;ECU;BodyControl;VirtualDevice;SituationManagement_BodyControl;(or _F2 _F3 _F4 _F6)
VirtualDevice;ECU;BodyControl;VirtualDevice;HumanMachineInterface_BodyControl;(or _F2 _F3 _F4 _F6)
VirtualDevice;ECU;BrakingControl;VirtualDevice;HumanMachineInterface_BrakingControl;(or _F8 _F3)
VirtualDevice;ECU;BrakingControl;VirtualDevice;SituationManagement_BrakingControl;(or _F8 _F3)
VirtualDevice;ECU;EngineControl;VirtualDevice;SituationManagement_EngineControl;(_F7)
VirtualDevice;ECU;EngineControl;VirtualDevice;HumanMachineInterface_EngineControl;(_F7)
Distributable;VirtualDevice;HumanMachineInterface_BodyControl;Distributable;Display_BodyControl;(or _F2 _F3 _F6)
Distributable;VirtualDevice;HumanMachineInterface_BodyControl;Distributable;PowerWindowButton;(_F4)
Distributable;VirtualDevice;SituationManagement_BodyControl;Distributable;AdaptiveCruiseControl;(or _F2 _F3)
Distributable;VirtualDevice;SituationManagement_BodyControl;Distributable;ClimateControl;(_F6)
Distributable;VirtualDevice;SituationManagement_BodyControl;Distributable;PowerWindowController;(_F4)
Distributable;VirtualDevice;SituationManagement_BrakingControl;Distributable;ABSController;(or _F8 _F3)
Distributable;VirtualDevice;HumanMachineInterface_BrakingControl;Distributable;Display_BrakingControl;(or _F8 _F3)
Distributable;VirtualDevice;HumanMachineInterface_BrakingControl;Distributable;BrakingPedalModule;(or _F8 _F3)
Distributable;VirtualDevice;SituationManagement_EngineControl;Distributable;SpeedControl;(_F7)
Distributable;VirtualDevice;HumanMachineInterface_EngineControl;Distributable;Display_EngineControl;(_F7)
Distributable;VirtualDevice;HumanMachineInterface_EngineControl;Distributable;Input_EngineControl;(_F7)
ExecFrame;Distributable;Display_BodyControl;ExecFrame;De_ActivateACC;(or _F2 _F3)
ExecFrame;Distributable;Display_BodyControl;ExecFrame;DisplayACCState;(or _F2 _F3)
ExecFrame;Distributable;Display_BodyControl;ExecFrame;DisplaySetSpeed;(or _F2 _F3)
ExecFrame;Distributable;Display_BodyControl;ExecFrame;DispUserSetPointInCel;(_F6)
ExecFrame;Distributable;Display_BodyControl;ExecFrame;DispExternalTempCel;(_F6)
ExecFrame;Distributable;Display_BodyControl;ExecFrame;DispCurCarTempCel;(_F6)
ExecFrame;Distributable;Display_BodyControl;ExecFrame;InputUserSetPointInCel;(_F6)
ExecFrame;Distributable;Display_BodyControl;ExecFrame;InputExternalTempInCel;(_F6)
ExecFrame;Distributable;PowerWindowButton;ExecFrame;RollUp;(_F4)
ExecFrame;Distributable;PowerWindowButton;ExecFrame;RollDown;(_F4)
ExecFrame;Distributable;AdaptiveCruiseControl;ExecFrame;ComputeDesiredSpeed;(or _F2 _F3)
ExecFrame;Distributable;PowerWindowController;ExecFrame;DetectObstacle;(_F4)
ExecFrame;Distributable;PowerWindowController;ExecFrame;ValidateRollUpCommand;(_F4)
ExecFrame;Distributable;PowerWindowController;ExecFrame;ValidateRollDownCommand;(_F4)
ExecFrame;Distributable;ClimateControl;ExecFrame;RegulateTemp;(_F6)
ExecFrame;Distributable;SpeedControl;ExecFrame;ComputeArmatureVoltage;(_F7)
ExecFrame;Distributable;Input_EngineControl;ExecFrame;DepressAccelerator;(_F7)
ExecFrame;Distributable;Input_EngineControl;ExecFrame;ReleaseAccelerator;(_F7)
ExecFrame;Distributable;Display_EngineControl;ExecFrame;DispCurSpeed;(_F7)
ExecFrame;Distributable;ABSController;ExecFrame;De_ActivateABS;(or _F8 _F3)
ExecFrame;Distributable;ABSController;ExecFrame;CalcSlip;(or _F8 _F3)
ExecFrame;Distributable;ABSController;ExecFrame;CalcVehicleSpeed;(or _F8 _F3)
ExecFrame;Distributable;ABSController;ExecFrame;CalcWheelAngularSpeed;(or _F8 _F3)
ExecFrame;Distributable;Display_BrakingControl;ExecFrame;Unnamed;(or _F8 _F3)
ExecFrame;Distributable;BrakingPedalModule;ExecFrame;Apply_Rel_ForceOnBrakes;(or _F8 _F3)
Required;ExecFrame;De_ActivateACC;Signal;TurnAccon;(or _F2 _F3)
Required;ExecFrame;De_ActivateACC;Signal;TurnAccoff;(or _F2 _F3)
Required;ExecFrame;De_ActivateACC;Signal;TurnABSoff;(_F3)
Provided;ExecFrame;De_ActivateACC;Signal;SetACCSpeed;(or _F2 _F3)
Provided;ExecFrame;De_ActivateACC;Signal;SetACCState;(or _F2 _F3)
Required;ExecFrame;DisplayACCState;Signal;GetACCState;(or _F2 _F3)
Required;ExecFrame;DisplaySetSpeed;Signal;GetACCSpeed;(or _F2 _F3)
Required;ExecFrame;DispUserSetPointInCel;Signal;GetUserSetPoint;(_F6)
Required;ExecFrame;DispExternalTempCel;Signal;GetExternalTemp;(_F6)
Required;ExecFrame;DispCurCarTempCel;Signal;GetCurTemp;(_F6)
Provided;ExecFrame;InputUserSetPointInCel;Signal;SetUserSetPoint;(_F6)
Provided;ExecFrame;InputExternalTempInCel;Signal;SetExternalTemp;(_F6)
Required;ExecFrame;RollUp;Signal;Send2ControllerRollUp;(_F4)
Required;ExecFrame;RollDown;Signal;Send2ControllerRollDown;(_F4)
Provided;ExecFrame;ComputeDesiredSpeed;Signal;SetACCDesiredSpeed;(or _F2 _F3)
Provided;ExecFrame;ComputeDesiredSpeed;Signal;SetSpeed;(or _F2 _F3)
Provided;ExecFrame;DetectObstacle;Signal;RollDownWin10cm;(_F4)
Provided;ExecFrame;ValidateRollUpCommand;Signal;RollUpWinYcm;(_F4)
Provided;ExecFrame;ValidateRollDownCommand;Signal;RollDownWinYcm;(_F4)
Provided;ExecFrame;RegulateTemp;Signal;TurnHeaterOnOff;(_F6)
Provided;ExecFrame;RegulateTemp;Signal;TurnAcOnOff;(_F6)
Provided;ExecFrame;RegulateTemp;Signal;RaiseACTemp;(_F6)
Provided;ExecFrame;RegulateTemp;Signal;LowerACTemp;(_F6)
Provided;ExecFrame;RegulateTemp;Signal;RaiseHeaterTemp;(_F6)
Provided;ExecFrame;RegulateTemp;Signal;LowerHeaterTemp;(_F6)
Provided;ExecFrame;RegulateTemp;Signal;SetBlowerOff;(_F6)
Provided;ExecFrame;RegulateTemp;Signal;SetBlower1;(_F6)
Provided;ExecFrame;RegulateTemp;Signal;SetBlower2;(_F6)
Provided;ExecFrame;RegulateTemp;Signal;SetBlower3;(_F6)
Required;ExecFrame;ComputeArmatureVoltage;Signal;GetSpeed;(_F7)
Required;ExecFrame;ComputeArmatureVoltage;Signal;GetMotorTorque;(_F7)
Required;ExecFrame;ComputeArmatureVoltage;Signal;GetFieldExcitationCurrent;(_F7)
Provided;ExecFrame;ComputeArmatureVoltage;Signal;UpdateRotationSpeedOfAlternator_SyncGenerator;(_F7)
Provided;ExecFrame;ComputeArmatureVoltage;Signal;SetArmatureVoltage;(_F7)
Required;ExecFrame;DispCurSpeed;Signal;GetSpeed;(_F7)
Required;ExecFrame;DepressAccelerator;Signal;GetArmatureVoltage;(_F7)
Provided;ExecFrame;DepressAccelerator;Signal;SetSpeed;(_F7)
Required;ExecFrame;ReleaseAccelerator;Signal;GetArmatureVoltage;(_F7)
Provided;ExecFrame;ReleaseAccelerator;Signal;SetSpeed;(_F7)
Provided;ExecFrame;CalcSlip;Signal;SetCurSlip;(or _F8 _F3)
Provided;ExecFrame;CalcSlip;Signal;SetDesiredSlip;(or _F8 _F3)
Provided;ExecFrame;CalcSlip;Signal;SetFrictionCoeff_MuSlipCurve;(or _F8 _F3)
Required;ExecFrame;CalcSlip;Signal;GetWheelAngularSpeed;(or _F8 _F3)
Required;ExecFrame;CalcSlip;Signal;GetVehicleSpeed;(or _F8 _F3)
Provided;ExecFrame;CalcVehicleSpeed;Signal;SetVehicleDeceleration;(or _F8 _F3)
Provided;ExecFrame;CalcVehicleSpeed;Signal;SetVehicleSpeed;(or _F8 _F3)
Required;ExecFrame;CalcVehicleSpeed;Signal;GetFrictionCoeff_MuSlipCurve;(or _F8 _F3)
Required;ExecFrame;CalcVehicleSpeed;Signal;GetVehicleMass;(or _F8 _F3)
Required;ExecFrame;CalcVehicleSpeed;Signal;GetWeightOnWheel;(or _F8 _F3)
Required;ExecFrame;De_ActivateABS;Signal;TurnAccoff;(_F3)
Provided;ExecFrame;De_ActivateABS;Signal;SetABSstate;(or _F8 _F3)
Provided;ExecFrame;De_ActivateABS;Signal;TurnABSoff;(or _F8 _F3)
Provided;ExecFrame;De_ActivateABS;Signal;TurnABSon;(or _F8 _F3)
Provided;ExecFrame;CalcWheelAngularSpeed;Signal;SetWheelAngularSpeed;(or _F8 _F3)
Required;ExecFrame;CalcWheelAngularSpeed;Signal;GetDesiredSlip;(or _F8 _F3)
Required;ExecFrame;CalcWheelAngularSpeed;Signal;GetCurSlip;(or _F8 _F3)
Required;ExecFrame;CalcWheelAngularSpeed;Signal;GetWheelTorque;(or _F8 _F3)
Required;ExecFrame;Unnamed;Signal;GetABSstate;(or _F8 _F3)
Provided;ExecFrame;Apply_Rel_ForceOnBrakes;Signal;SetBrakePressure;(or _F8 _F3)
Required;ExecFrame;Apply_Rel_ForceOnBrakes;Signal;TurnABSon;(or _F8 _F3)
Required;ExecFrame;Apply_Rel_ForceOnBrakes;Signal;TurnABSoff;(or _F8 _F3)